Commit_Id,PR,Repo
c39198cd7f20a1915ff894564561ea9a95abd5b2,TM-1751 : Fixed review comments,saas-platform-ms-tenant-manager
dfb6f422afeab061a5ee1f91b35fe58a68eb1ca0,Merge branch 'master' into feature/TM-1735-backed-modify-to-add-tenantmanagement-license-t,saas-platform-ms-tenant-manager
ca36ca4aae863536cfea9b4437db61e278264510,TM-1735 Add IT to verify the TM license id added to the parent when first child is created,saas-platform-ms-tenant-manager
eb78a9bdf561e3ec92423518a6c6969afb6e217a,Merge branch 'master' of ssh://tlvgit02.nice.com:7999/wfo/saas-platform-ms-tenant-manager,saas-platform-ms-tenant-manager
50aa9e70e56670adae4c938246316a2379698d5a,UH-5776 Updated scaling Policy,saas-platform-ms-tenant-manager
e69e721aea8c71e17a0e2fa34c3599b56a1e18b2,TM-1732: Modified TMA license check from Application instead of Product,saas-platform-ms-tenant-manager
0df68f3335670f009b0d3043cca5cf5bd7b06bbe,TM-1733 : updated code for review commnets,saas-platform-ms-tenant-manager
bd32a8161dadafb76a785d2ce02c92a5245a6726,Merge branch 'master' of https://tlvgit02.nice.com/scm/wfo/saas-platform-ms-tenant-manager,saas-platform-ms-tenant-manager
81bfe24cde2ad6c4543eecd21ae3ebf4b9c58a66,TM-1751 : added review comments,saas-platform-ms-tenant-manager
bfade8508c45e5e001ce473e4424a032f39a5cb5,TM-1732: Allow Customer Parent Tenant to access CrossContextAware APIs for its child tenan,saas-platform-ms-tenant-manager
8eab07feb2799650ee5296d9683f0736a7870234,TM-1753 Optimized code,saas-platform-ms-tenant-manager
cd1e139a9d8fcf8f14f0592190f03cfb60b244b7,TM-1735 Audit the license change for the parent tenant,saas-platform-ms-tenant-manager
8ff021f126b3356902b5ed56a3fd192bf641b935,TM-1733 : added unit test coverage.,saas-platform-ms-tenant-manager
784c8c8b1be94abd24a027384b849f9387e00786,Merge branch 'master' of https://tlvgit02.nice.com/scm/wfo/saas-platform-ms-tenant-manager,saas-platform-ms-tenant-manager
fad040ab5021e57ea147655d6f7f7cfb2d275b1f,TM-1733 : updated code with IT,saas-platform-ms-tenant-manager
405f01d71a628d9f9a5063f78fa52bf46f8cc110,Pull request #794: UH-6896 CPU based Alarm name updated for Staging and Production,saas-platform-ms-tenant-manager
195a2f4faa5bd0bba4e25b317ee252fe1cae5572,TM-1751 : added UT for validation and added missing comment,saas-platform-ms-tenant-manager
a0b099661795e81b605143c837e44b746495f226,TM-1753 Remove Search option code,saas-platform-ms-tenant-manager
7673fe6d6a713dcf146480404f2ab9d16670fac5,TM-1751 : uncommented code,saas-platform-ms-tenant-manager
7c7f99ac5ddbc35fa2621160daf4816c1bccfc99,TM-1751 : added condion in iT to run in dev,saas-platform-ms-tenant-manager
7b33a5017836616e2931170b426d8c1f19bab80c,Merge branch 'master' of https://tlvgit02.nice.com/scm/wfo/saas-platform-ms-tenant-manager,saas-platform-ms-tenant-manager
addfa25fbd9b17644475131317b9922bc608d9db,TM-1751 : added IT and UTs,saas-platform-ms-tenant-manager
13c75685758a0743474817d383d72058f8a203ba,TM-1735 Add TM license to the parent tenant,saas-platform-ms-tenant-manager
3bb50cb9ed0c9e5a9ef51652daf1846f3ea4f9d6,Pull request #792: PIN-776: Atos version 1 support,saas-platform-ms-tenant-manager
efdbd6a5b603ce8fe88f655337761da25dc0e2e5,UH-6896 CPU based Alarm name updated for Staging and Production,saas-platform-ms-tenant-manager
f657db0c75ae68484f39945fc552ba07e217675f,TM-1753 Resolved Review Comments,saas-platform-ms-tenant-manager
94d23d3fcd776f0f201709ddf465853ea06429f0,TM-1735 Refactor code to have single ParentChildRelationManager,saas-platform-ms-tenant-manager
03dacf1c77fdd4440a3dadf1cbcbd61d4db98064,Merge branch 'master' of https://tlvgit02.nice.com/scm/wfo/saas-platform-ms-tenant-manager,saas-platform-ms-tenant-manager
565ddb6b7e9e9dbebea4c38f1fcd118c757efe29,TM-1751 : added IT,saas-platform-ms-tenant-manager
975ca29707b9e478c22d93e01955ea2399a2b260,TM-1753 Resolved Merge Conflict,saas-platform-ms-tenant-manager
8c523a6db60453fb922587fdc2a0e076b008010d,Merge remote-tracking branch 'origin/master' into PIN-489-FuzeV1Support,saas-platform-ms-tenant-manager
8dc3ca88f0aab250265a8a2e13dac6b39a510d75,Pull request #789: Feature/TM-1752 multiple application with or condition,saas-platform-ms-tenant-manager
6e6c3c7e2e3dddc06c203d2672d9135f1623a63c,Merge branch 'master' of https://tlvgit02.nice.com/scm/wfo/saas-platform-ms-tenant-manager,saas-platform-ms-tenant-manager
dd8842de9506a26bdcdff54bfd119c319f967f84,Pull request #791: Feature/TM-1736 backend implement logic to add update child tenant coun,saas-platform-ms-tenant-manager
961141630a01cf531ec1853370d0ffc7a9d467de,PIN-776: Atos version 1 support,saas-platform-ms-tenant-manager
